sensor,provider_asset_type,gsd,capture_date,off_nadir_angle,pan_resolution,sun_azimuth,sun_elevation,target_azimuth,disaster,disaster_type,catalog_id,original_width,original_height,width,height,id,img_name,centroid_x,centroid_y,path,no-damage,un-classified,destroyed,major-damage
GEOEYE01,GEOEYE01,1.7746705,2019-01-02T03:17:07.000Z,16.378376,0.44356507,126.33524,60.16131,292.7296,sunda-tsunami,tsunami,1050010013BECF00,1024,1024,1024,1024,MjY0MjIxNA.tPj_sw9aRw2PjbfRhQIl6R1ktWs,sunda-tsunami_00000000_post_disaster.png,105.83448101081756,-6.393007163167814,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\sunda-tsunami_00000000_post_disaster.json,153.02173913043478,33.205128205128204,14.916666666666666,6.25
GEOEYE01,GEOEYE01,1.7746705,2019-01-02T03:17:07.000Z,16.378376,0.44356507,126.33524,60.16131,292.7296,sunda-tsunami,tsunami,1050010013BECF00,1024,1024,1024,1024,MjY0MjIxNg.YLBP2ZjF375ioAJNSLgcr7MlOyI,sunda-tsunami_00000001_post_disaster.png,105.82328215135787,-6.367616614707342,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\sunda-tsunami_00000001_post_disaster.json,650.0,33.205128205128204,14.916666666666666,6.25
GEOEYE01,GEOEYE01,1.7746705,2019-01-02T03:17:07.000Z,16.378376,0.44356507,126.33524,60.16131,292.7296,sunda-tsunami,tsunami,1050010013BECF00,1024,1024,1024,1024,MjY0MjIxOA.79sVD0ZB57hBjHyjdA_Np59srHw,sunda-tsunami_00000002_post_disaster.png,105.82421294460971,-6.357285070894589,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\sunda-tsunami_00000002_post_disaster.json,28.0,58.0,14.916666666666666,6.25
GEOEYE01,GEOEYE01,1.7746705,2019-01-02T03:17:07.000Z,16.378376,0.44356507,126.33524,60.16131,292.7296,sunda-tsunami,tsunami,1050010013BECF00,1024,1024,1024,1024,MjY0MjIyMA.wCl1W3qr930jcZHSoNRJrd1NE6U,sunda-tsunami_00000003_post_disaster.png,105.83448101081756,-6.393007163167814,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\sunda-tsunami_00000003_post_disaster.json,153.02173913043478,33.205128205128204,14.916666666666666,6.25
GEOEYE01,GEOEYE01,1.7746705,2019-01-02T03:17:07.000Z,16.378376,0.44356507,126.33524,60.16131,292.7296,sunda-tsunami,tsunami,1050010013BECF00,1024,1024,1024,1024,MjY0MjIyMg.0iOu0t6mMe8_dd0dq3LwdKtmcdI,sunda-tsunami_00000004_post_disaster.png,105.82677259901283,-6.367246805101159,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\sunda-tsunami_00000004_post_disaster.json,302.0,8.0,14.916666666666666,6.25
GEOEYE01,GEOEYE01,1.7746705,2019-01-02T03:17:07.000Z,16.378376,0.44356507,126.33524,60.16131,292.7296,sunda-tsunami,tsunami,1050010013BECF00,1024,1024,1024,1024,MjY0MjIyNA.QiePQY_YJtOKAN4MbJ4hObjqI_Q,sunda-tsunami_00000005_post_disaster.png,105.8241966813173,-6.383986004452649,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\sunda-tsunami_00000005_post_disaster.json,43.0,33.205128205128204,6.0,2.0
GEOEYE01,GEOEYE01,1.7746705,2019-01-02T03:17:07.000Z,16.378376,0.44356507,126.33524,60.16131,292.7296,sunda-tsunami,tsunami,1050010013BECF00,1024,1024,1024,1024,MjY0MjIyNg.tiENuF7Fn5v1knFPXDBQhZ-JrGo,sunda-tsunami_00000006_post_disaster.png,105.82644757910029,-6.357459824880782,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\sunda-tsunami_00000006_post_disaster.json,235.0,66.0,14.916666666666666,6.25
GEOEYE01,GEOEYE01,1.7746705,2019-01-02T03:17:07.000Z,16.378376,0.44356507,126.33524,60.16131,292.7296,sunda-tsunami,tsunami,1050010013BECF00,1024,1024,1024,1024,MjY0MjIyOA.VHQyNzTJgMsHRFCs5kAlsLVIdfI,sunda-tsunami_00000007_post_disaster.png,105.82383923453645,-6.347846969592643,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\sunda-tsunami_00000007_post_disaster.json,153.02173913043478,4.0,14.916666666666666,6.25
GEOEYE01,GEOEYE01,1.7746705,2019-01-02T03:17:07.000Z,16.378376,0.44356507,126.33524,60.16131,292.7296,sunda-tsunami,tsunami,1050010013BECF00,1024,1024,1024,1024,MjY0MjIzMA.kQbjIN_J6hZ2b_SyDYj9-yJCG9A,sunda-tsunami_00000008_post_disaster.png,105.8336656499514,-6.395930850821689,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\sunda-tsunami_00000008_post_disaster.json,18.0,33.205128205128204,14.916666666666666,6.25
GEOEYE01,GEOEYE01,1.7746705,2019-01-02T03:17:07.000Z,16.378376,0.44356507,126.33524,60.16131,292.7296,sunda-tsunami,tsunami,1050010013BECF00,1024,1024,1024,1024,MjY0MjIzMQ.j9J6gwsZRtg6jpOzmSLBBNF07QE,sunda-tsunami_00000009_post_disaster.png,105.82380327192038,-6.376300054390098,C:\Users\yanit\OneDrive\Bureau\Data Insights And Visualization\tier3\labels\sunda-tsunami_00000009_post_disaster.json,595.0,1.0,46.0,10.0
